177.0,246.0
177.0,275.0
183.0,297.0
193.0,316.0
209.0,339.0
222.0,355.0
228.0,368.0
235.0,374.0
257.0,378.0
283.0,365.0
306.0,342.0
328.0,323.0
344.0,297.0
347.0,268.0
351.0,246.0
347.0,220.0
347.0,194.0
164.0,210.0
157.0,204.0
161.0,197.0
170.0,197.0
177.0,200.0
215.0,194.0
225.0,188.0
238.0,181.0
257.0,181.0
277.0,184.0
199.0,229.0
199.0,249.0
193.0,265.0
196.0,278.0
206.0,287.0
206.0,291.0
212.0,291.0
222.0,284.0
231.0,281.0
177.0,233.0
177.0,226.0
183.0,226.0
196.0,229.0
186.0,236.0
180.0,236.0
231.0,220.0
238.0,213.0
248.0,210.0
260.0,210.0
251.0,220.0
241.0,220.0
209.0,323.0
209.0,313.0
212.0,307.0
215.0,307.0
222.0,304.0
238.0,307.0
257.0,310.0
244.0,323.0
235.0,329.0
225.0,333.0
219.0,333.0
212.0,329.0
212.0,323.0
215.0,316.0
222.0,313.0
231.0,313.0
254.0,310.0
231.0,316.0
222.0,320.0
215.0,320.0
