199.0,253.0
194.0,273.0
197.0,289.0
204.0,301.0
212.0,319.0
217.0,330.0
220.0,335.0
225.0,340.0
238.0,342.0
258.0,332.0
284.0,324.0
304.0,317.0
320.0,301.0
330.0,283.0
332.0,266.0
335.0,245.0
335.0,222.0
194.0,232.0
192.0,222.0
194.0,217.0
197.0,214.0
202.0,212.0
225.0,202.0
233.0,196.0
243.0,194.0
256.0,191.0
271.0,199.0
215.0,230.0
209.0,243.0
204.0,250.0
202.0,260.0
212.0,276.0
212.0,276.0
215.0,273.0
220.0,271.0
227.0,268.0
202.0,243.0
199.0,237.0
204.0,235.0
215.0,237.0
207.0,240.0
202.0,245.0
238.0,227.0
240.0,219.0
248.0,217.0
258.0,219.0
250.0,225.0
240.0,227.0
212.0,304.0
209.0,294.0
212.0,289.0
215.0,286.0
217.0,283.0
230.0,289.0
243.0,294.0
233.0,299.0
222.0,301.0
217.0,304.0
215.0,307.0
212.0,304.0
212.0,301.0
215.0,296.0
217.0,294.0
222.0,294.0
243.0,291.0
222.0,294.0
217.0,294.0
215.0,296.0
